'name', 'type', 'province', 'city'
'آموزشکده فنی و حرفه ای دختران اصفهان', 'دانشگاه فنی و حرفه ای', 'اصفهان', 'اصفهان'
'آموزشکده فنی و حرفه ای دختران اقلید', 'دانشگاه فنی و حرفه ای', 'فارس', 'اقلید'
'آموزشکده فنی و حرفه ای دختران بابل', 'دانشگاه فنی و حرفه ای', 'مازندران', 'بابل'
'آموزشکده فنی و حرفه ای دختران بروجرد', 'دانشگاه فنی و حرفه ای', 'لرستان', 'بروجرد'
'آموزشکده فنی و حرفه ای دختران بندرعباس', 'دانشگاه فنی و حرفه ای', 'هرمزگان', 'بندرعباس'
'آموزشکده فنی و حرفه ای دختران تهران-ولیعصر(عج)', 'دانشگاه فنی و حرفه ای', 'تهران', 'تهران'
'آموزشکده فنی و حرفه ای دختران جونقان', 'دانشگاه فنی و حرفه ای', 'چهارمحال و بختیاری', 'فارسان'
'آموزشکده فنی و حرفه ای دختران خرم آباد', 'دانشگاه فنی و حرفه ای', 'لرستان', 'خرم آباد'
'آموزشکده فنی و حرفه ای دختران خوانسار', 'دانشگاه فنی و حرفه ای', 'اصفهان', 'خوانسار'
'آموزشکده فنی و حرفه ای دختران خوی', 'دانشگاه فنی و حرفه ای', 'آذربایجان غربی', 'خوی'
'آموزشکده فنی و حرفه ای دختران رفسنجان', 'دانشگاه فنی و حرفه ای', 'کرمان', 'رفسنجان'
'آموزشکده فنی و حرفه ای دختران زاهدان', 'دانشگاه فنی و حرفه ای', 'سیستان و بلوچستان', 'زاهدان'
'آموزشکده فنی و حرفه ای دختران زنجان- قائم (عج)', 'دانشگاه فنی و حرفه ای', 'زنجان', 'زنجان'
'آموزشکده فنی و حرفه ای دختران ساری', 'دانشگاه فنی و حرفه ای', 'مازندران', 'ساری'
'آموزشکده فنی و حرفه ای دختران سبزوار', 'دانشگاه فنی و حرفه ای', 'خراسان رضوی', 'سبزوار'
'آموزشکده فنی و حرفه ای دختران سمنان', 'دانشگاه فنی و حرفه ای', 'سمنان', 'سمنان'
'آموزشکده فنی و حرفه ای دختران سنندج', 'دانشگاه فنی و حرفه ای', 'کردستان', 'سنندج'
'آموزشکده فنی و حرفه ای دختران شاهرود', 'دانشگاه فنی و حرفه ای', 'سمنان', 'شاهرود'
'آموزشکده فنی و حرفه ای دختران شیراز', 'دانشگاه فنی و حرفه ای', 'فارس', 'شیراز'
'آموزشکده فنی و حرفه ای دختران کرج', 'دانشگاه فنی و حرفه ای', 'البرز', 'کرج'
'آموزشکده فنی و حرفه ای دختران گنبد', 'دانشگاه فنی و حرفه ای', 'گلستان', 'گنبد کاووس'
'آموزشکده فنی و حرفه ای دختران مشهد', 'دانشگاه فنی و حرفه ای', 'خراسان رضوی', 'مشهد'
'آموزشکده فنی و حرفه ای دختران نیشابور', 'دانشگاه فنی و حرفه ای', 'خراسان رضوی', 'نیشابور'
'آموزشکده فنی و حرفه ای دختران همدان', 'دانشگاه فنی و حرفه ای', 'همدان', 'همدان'
'آموزشکده فنی و حرفه ای دختران یزد', 'دانشگاه فنی و حرفه ای', 'یزد', 'یزد'
'آموزشکده فنی و حرفه دختران بوشهر', 'دانشگاه فنی و حرفه ای', 'بوشهر', 'بوشهر'
'آموزشکده فنی وحرفه ا ی پسران بم', 'دانشگاه فنی و حرفه ای', 'کرمان', 'بم'
'آموزشکده فنی وحرفه ا ی پسران سنندج (شهید یزدان پناه)', 'دانشگاه فنی و حرفه ای', 'کردستان', 'سنندج'
'آموزشکده فنی وحرفه ای پسران آباده (امام خمینی )', 'دانشگاه فنی و حرفه ای', 'فارس', 'آباده'
'آموزشکده فنی وحرفه ای پسران آستانه اشرفیه', 'دانشگاه فنی و حرفه ای', 'گیلان', 'آستانه اشرفیه'
'آموزشکده فنی وحرفه ای پسران اردبیل (رازی )', 'دانشگاه فنی و حرفه ای', 'اردبیل', 'اردبیل'
'آموزشکده فنی وحرفه ای پسران اردکان', 'دانشگاه فنی و حرفه ای', 'یزد', 'اردکان'
'آموزشکده فنی وحرفه ای پسران استهبان', 'دانشگاه فنی و حرفه ای', 'فارس', 'استهبان'
'آموزشکده فنی وحرفه ای پسران اهر', 'دانشگاه فنی و حرفه ای', 'آذربایجان شرقی', 'اهر'
'آموزشکده فنی وحرفه ای پسران اهواز (شماره1)', 'دانشگاه فنی و حرفه ای', 'خوزستان', 'اهواز'
'آموزشکده فنی وحرفه ای پسران ایلام', 'دانشگاه فنی و حرفه ای', 'ایلام', 'ایلام'
'آموزشکده فنی وحرفه ای پسران بافت', 'دانشگاه فنی و حرفه ای', 'کرمان', 'بافت'
'آموزشکده فنی وحرفه ای پسران بجنورد', 'دانشگاه فنی و حرفه ای', 'خراسان شمالی', 'بجنورد'
'آموزشکده فنی وحرفه ای پسران بروجرد', 'دانشگاه فنی و حرفه ای', 'لرستان', 'بروجرد'
'آموزشکده فنی وحرفه ای پسران بروجن', 'دانشگاه فنی و حرفه ای', 'چهارمحال و بختیاری', 'بروجن'
'آموزشکده فنی وحرفه ای پسران بندر انزلی', 'دانشگاه فنی و حرفه ای', 'گیلان', 'بندر انزلی'
'آموزشکده فنی وحرفه ای پسران بندر عباس', 'دانشگاه فنی و حرفه ای', 'هرمزگان', 'بندرعباس'
'آموزشکده فنی وحرفه ای پسران بهشهر', 'دانشگاه فنی و حرفه ای', 'مازندران', 'بهشهر'
'آموزشکده فنی وحرفه ای پسران بیرجند', 'دانشگاه فنی و حرفه ای', 'خراسان جنوبی', 'بیرجند'
'آموزشکده فنی وحرفه ای پسران تبریز(شماره 2)', 'دانشگاه فنی و حرفه ای', 'آذربایجان شرقی', 'تبریز'
'آموزشکده فنی وحرفه ای پسران تربت حیدریه', 'دانشگاه فنی و حرفه ای', 'خراسان رضوی', 'تربت حیدریه'
'آموزشکده فنی وحرفه ای پسران تهران (شماره 2)-شهید شمسی پور', 'دانشگاه فنی و حرفه ای', 'تهران', 'تهران'
'آموزشکده فنی وحرفه ای پسران جاجرم', 'دانشگاه فنی و حرفه ای', 'خراسان شمالی', 'جاجرم'
'آموزشکده فنی وحرفه ای پسران جیرفت', 'دانشگاه فنی و حرفه ای', 'کرمان', 'جیرفت'
'آموزشکده فنی وحرفه ای پسران خرم آباد', 'دانشگاه فنی و حرفه ای', 'لرستان', 'خرم آباد'
'آموزشکده فنی وحرفه ای پسران خمین', 'دانشگاه فنی و حرفه ای', 'مرکزی', 'خمین'
'آموزشکده فنی وحرفه ای پسران داراب', 'دانشگاه فنی و حرفه ای', 'فارس', 'داراب'
'آموزشکده فنی وحرفه ای پسران درود', 'دانشگاه فنی و حرفه ای', 'لرستان', 'دورود'
'آموزشکده فنی وحرفه ای پسران رامسر', 'دانشگاه فنی و حرفه ای', 'مازندران', 'رامسر'
'آموزشکده فنی وحرفه ای پسران رستم آباد رودبار', 'دانشگاه فنی و حرفه ای', 'گیلان', 'رودبار'
'آموزشکده فنی وحرفه ای پسران رشت(شهید چمران)', 'دانشگاه فنی و حرفه ای', 'گیلان', 'رشت'
'آموزشکده فنی وحرفه ای پسران زاهدان (شماره 1)', 'دانشگاه فنی و حرفه ای', 'سیستان و بلوچستان', 'زاهدان'
'آموزشکده فنی وحرفه ای پسران زرند', 'دانشگاه فنی و حرفه ای', 'کرمان', 'زرند'
'آموزشکده فنی وحرفه ای پسران ساوه', 'دانشگاه فنی و حرفه ای', 'مرکزی', 'ساوه'
'آموزشکده فنی وحرفه ای پسران سراب', 'دانشگاه فنی و حرفه ای', 'آذربایجان شرقی', 'سراب'
'آموزشکده فنی وحرفه ای پسران سقز', 'دانشگاه فنی و حرفه ای', 'کردستان', 'سقز'
'آموزشکده فنی وحرفه ای پسران سیرجان', 'دانشگاه فنی و حرفه ای', 'کرمان', 'سیرجان'
'آموزشکده فنی وحرفه ای پسران شهرضا', 'دانشگاه فنی و حرفه ای', 'اصفهان', 'شهرضا'
'آموزشکده فنی وحرفه ای پسران طبس', 'دانشگاه فنی و حرفه ای', 'خراسان جنوبی', 'طبس'
'آموزشکده فنی وحرفه ای پسران علی آباد کتول', 'دانشگاه فنی و حرفه ای', 'گلستان', 'علی آباد'
'آموزشکده فنی وحرفه ای پسران فردوس  (خراسان جنوبی)', 'دانشگاه فنی و حرفه ای', 'خراسان جنوبی', 'فردوس'
'آموزشکده فنی وحرفه ای پسران قزوین', 'دانشگاه فنی و حرفه ای', 'قزوین', 'قزوین'
'آموزشکده فنی وحرفه ای پسران قم', 'دانشگاه فنی و حرفه ای', 'قم', 'قم'
'آموزشکده فنی وحرفه ای پسران کاشان (شهید رجائی )', 'دانشگاه فنی و حرفه ای', 'اصفهان', 'کاشان'
'آموزشکده فنی وحرفه ای پسران کرمان (شماره دو)', 'دانشگاه فنی و حرفه ای', 'کرمان', 'کرمان'
'آموزشکده فنی وحرفه ای پسران گلپایگان', 'دانشگاه فنی و حرفه ای', 'اصفهان', 'گلپایگان'
'آموزشکده فنی وحرفه ای پسران مرودشت', 'دانشگاه فنی و حرفه ای', 'فارس', 'مرودشت'
'آموزشکده فنی وحرفه ای پسران ملایر', 'دانشگاه فنی و حرفه ای', 'همدان', 'ملایر'
'آموزشکده فنی وحرفه ای پسران ممسنی', 'دانشگاه فنی و حرفه ای', 'فارس', 'نورآباد ممسنی'
'آموزشکده فنی وحرفه ای پسران میناب', 'دانشگاه فنی و حرفه ای', 'هرمزگان', 'میناب'
'آموزشکده فنی وحرفه ای پسران نجف آباد', 'دانشگاه فنی و حرفه ای', 'اصفهان', 'نجف آباد'
'آموزشکده فنی وحرفه ای پسران نهاوند', 'دانشگاه فنی و حرفه ای', 'همدان', 'نهاوند'
'آموزشکده فنی وحرفه ای پسران یاسوج', 'دانشگاه فنی و حرفه ای', 'کهگیلویه و بویراحمد', 'بویراحمد'
'آموزشکده فنی وحرفه ای دختران آمل(توحید)', 'دانشگاه فنی و حرفه ای', 'مازندران', 'آمل'
'آموزشکده فنی وحرفه ای دختران اراک', 'دانشگاه فنی و حرفه ای', 'مرکزی', 'اراک'
'آموزشکده فنی وحرفه ای دختران اردبیل', 'دانشگاه فنی و حرفه ای', 'اردبیل', 'اردبیل'
'آموزشکده فنی وحرفه ای دختران اهواز', 'دانشگاه فنی و حرفه ای', 'خوزستان', 'اهواز'
'آموزشکده فنی وحرفه ای دختران ایلام', 'دانشگاه فنی و حرفه ای', 'ایلام', 'ایلام'
'آموزشکده فنی وحرفه ای دختران بجنورد', 'دانشگاه فنی و حرفه ای', 'خراسان شمالی', 'بجنورد'
'آموزشکده فنی وحرفه ای دختران بیرجند', 'دانشگاه فنی و حرفه ای', 'خراسان جنوبی', 'بیرجند'
'آموزشکده فنی وحرفه ای دختران تبریز', 'دانشگاه فنی و حرفه ای', 'آذربایجان شرقی', 'تبریز'
'آموزشکده فنی وحرفه ای دختران رشت', 'دانشگاه فنی و حرفه ای', 'گیلان', 'رشت'
'آموزشکده فنی وحرفه ای دختران سیرجان', 'دانشگاه فنی و حرفه ای', 'کرمان', 'سیرجان'
'آموزشکده فنی وحرفه ای دختران شهر کرد', 'دانشگاه فنی و حرفه ای', 'چهارمحال و بختیاری', 'شهرکرد'
'آموزشکده فنی وحرفه ای دختران شهرضا', 'دانشگاه فنی و حرفه ای', 'اصفهان', 'شهرضا'
'آموزشکده فنی وحرفه ای دختران قزوین', 'دانشگاه فنی و حرفه ای', 'قزوین', 'قزوین'
'آموزشکده فنی وحرفه ای دختران قم', 'دانشگاه فنی و حرفه ای', 'قم', 'قم'
'آموزشکده فنی وحرفه ای دختران کازرون', 'دانشگاه فنی و حرفه ای', 'فارس', 'کازرون'
'آموزشکده فنی وحرفه ای دختران کاشان', 'دانشگاه فنی و حرفه ای', 'اصفهان', 'کاشان'
'آموزشکده فنی وحرفه ای دختران کرمان (حضرت فاطمه س)', 'دانشگاه فنی و حرفه ای', 'کرمان', 'کرمان'
'آموزشکده فنی وحرفه ای دختران کرمانشاه', 'دانشگاه فنی و حرفه ای', 'کرمانشاه', 'کرمانشاه'
'آموزشکده فنی وحرفه ای دختران گرگان', 'دانشگاه فنی و حرفه ای', 'گلستان', 'گرگان'
'آموزشکده فنی وحرفه ای دختران مراغه', 'دانشگاه فنی و حرفه ای', 'آذربایجان شرقی', 'مراغه'
'آموزشکده فنی وحرفه ای دختران ملایر', 'دانشگاه فنی و حرفه ای', 'همدان', 'ملایر'
'آموزشکده فنی وحرفه ای دختران میبد', 'دانشگاه فنی و حرفه ای', 'یزد', 'میبد'
'آموزشکده فنی وحرفه ای دختران نجف آباد', 'دانشگاه فنی و حرفه ای', 'اصفهان', 'نجف آباد'
'آموزشکده فنی وحرفه ای دختران نی ریز', 'دانشگاه فنی و حرفه ای', 'فارس', 'نی\u200cریز'
'آموزشکده فنی وحرفه ای دختران یاسوج', 'دانشگاه فنی و حرفه ای', 'کهگیلویه و بویراحمد', 'بویراحمد'
'آموزشکده کشاورزی پسران  شهریار', 'دانشگاه فنی و حرفه ای', 'تهران', 'شهریار'
'آموزشکده کشاورزی پسران امیر آباد دامغان', 'دانشگاه فنی و حرفه ای', 'سمنان', 'دامغان'
'آموزشکده کشاورزی پسران اهواز', 'دانشگاه فنی و حرفه ای', 'خوزستان', 'اهواز'
'آموزشکده کشاورزی پسران پاکدشت', 'دانشگاه فنی و حرفه ای', 'تهران', 'پاکدشت'
'آموزشکده کشاورزی پسران حبیب آباد', 'دانشگاه فنی و حرفه ای', 'اصفهان', 'برخوار و میمه'
'آموزشکده کشاورزی پسران خاتم', 'دانشگاه فنی و حرفه ای', 'یزد', 'خاتم'
'آموزشکده کشاورزی پسران دماوند', 'دانشگاه فنی و حرفه ای', 'تهران', 'دماوند'
'آموزشکده کشاورزی پسران ساری', 'دانشگاه فنی و حرفه ای', 'مازندران', 'ساری'
'آموزشکده کشاورزی پسران سمنگان', 'دانشگاه فنی و حرفه ای', 'خراسان شمالی', 'آشخانه'
'آموزشکده کشاورزی پسران شهرکرد', 'دانشگاه فنی و حرفه ای', 'چهارمحال و بختیاری', 'شهرکرد'
'آموزشکده کشاورزی پسران فسا', 'دانشگاه فنی و حرفه ای', 'فارس', 'فسا'
'آموزشکده کشاورزی پسران کرمان(رضوان)', 'دانشگاه فنی و حرفه ای', 'کرمان', 'کرمان'
'آموزشکده کشاورزی پسران مراغه', 'دانشگاه فنی و حرفه ای', 'آذربایجان شرقی', 'مراغه'
'آموزشکده کشاورزی پسران نیشابور', 'دانشگاه فنی و حرفه ای', 'خراسان رضوی', 'نیشابور'
